,ISBN,author_id
0,0195153448,1
1,0195153448,2
2,0002005018,3
3,0002005018,4
4,0002005018,5
5,0002005018,6
6,0002005018,7
7,0002005018,8
8,0060973129,9
9,0060973129,10
10,0374157065,11
11,0374157065,12
12,0374157065,13
13,0374157065,14
14,0374157065,15
15,0374157065,16
16,0393045218,17
17,0393045218,18
18,0399135782,19
19,0399135782,20
20,0425176428,21
21,0425176428,22
22,0671870432,23
23,0671870432,24
24,0679425608,25
25,0679425608,26
26,074322678X,27
27,074322678X,28
28,0771074670,29
29,0771074670,30
30,080652121X,31
31,080652121X,32
32,080652121X,33
33,080652121X,34
34,080652121X,35
35,080652121X,36
36,0887841740,37
37,0887841740,38
38,1552041778,39
39,1552041778,40
40,1558746218,41
41,1558746218,42
42,1567407781,43
43,1567407781,44
44,1575663937,45
45,1575663937,46
46,1881320189,47
47,1881320189,48
48,0440234743,49
49,0440234743,50
50,0452264464,51
51,0452264464,52
52,0609804618,53
53,0609804618,54
54,1841721522,55
55,1841721522,56
56,1879384493,57
57,1879384493,58
58,1879384493,59
59,0061076031,60
60,0061076031,61
61,0439095026,62
62,0439095026,63
63,0689821166,64
64,0689821166,65
65,0689821166,66
66,0971880107,67
67,0971880107,68
68,0345402871,37
69,0345402871,38
70,0345417623,37
71,0345417623,69
72,0684823802,70
73,0684823802,71
74,0375759778,72
75,0375759778,73
76,0425163091,74
77,0425163091,75
78,0425163091,76
79,3404921038,77
80,3404921038,78
81,3442353866,79
82,3442353866,80
83,3442353866,81
84,3442410665,82
85,3442410665,83
86,3442410665,84
87,3442446937,85
88,3442446937,86
89,3442446937,87
90,0375406328,88
91,0375406328,89
92,0446310786,90
93,0446310786,91
94,0446310786,92
95,0449005615,93
96,0449005615,94
97,0060168013,95
98,0060168013,96
99,038078243X,97
100,038078243X,98
101,038078243X,99
102,055321215X,100
103,055321215X,101
104,055321215X,102
105,067176537X,103
106,067176537X,104
107,0061099686,105
108,0061099686,106
109,0553582909,107
110,0553582909,108
111,0553582909,109
112,0671888587,110
113,0671888587,94
114,0553582747,111
115,0553582747,112
116,0425182908,113
117,0425182908,114
118,042518630X,115
119,042518630X,116
120,0440223571,117
121,0440223571,118
122,0812523873,119
123,0812523873,120
124,0842342702,121
125,0842342702,122
126,0842342702,123
127,0440225701,124
128,0440225701,125
129,0060914068,126
130,0060914068,127
131,0060914068,128
132,0156047624,41
133,0156047624,42
134,0245542957,62
135,0245542957,63
136,0380715899,129
137,0380715899,130
138,0380715899,131
139,0553280333,132
140,0553280333,133
141,0961769947,134
142,0961769947,135
143,0964778319,136
144,0964778319,137
145,0671623249,138
146,0671623249,139
147,0679810307,140
148,0679810307,141
149,0679810307,142
150,0679865691,143
151,0679865691,144
152,2070423204,145
153,2070423204,146
154,2070423204,147
155,2070423204,87
156,2070423204,148
157,2070423204,149
158,2070423204,150
159,2070423204,151
160,0345260317,152
161,0345260317,153
162,0345260317,154
163,0394743741,155
164,0394743741,156
165,042511774X,157
166,042511774X,158
167,0804106304,159
168,0804106304,160
169,0804106304,161
170,1853262404,162
171,1853262404,163
172,0312970242,164
173,0312970242,165
174,1853260053,166
175,1853260053,167
176,1414035004,105
177,1414035004,106
178,0060938412,168
179,0060938412,169
180,0140067477,170
181,0140067477,171
182,0345465083,172
183,0345465083,10
184,0451625889,173
185,0451625889,174
186,0451625889,175
187,1558531025,176
188,1558531025,177
189,0441783589,178
190,0441783589,179
191,0441783589,180
192,0441783589,181
193,0441783589,182
194,0441783589,183
195,0394895894,184
196,1569871213,185
197,1569871213,186
198,0375410538,187
199,0966986105,188
200,0966986105,189
201,087113375X,190
202,087113375X,40
203,0340767936,191
204,0340767936,192
205,0743403843,193
206,0743403843,194
207,0060930365,195
208,0060930365,196
209,0060930365,197
210,0060177586,198
211,0060177586,199
212,0071416331,200
213,0071416331,201
214,0375509038,202
215,0375509038,203
216,0553062042,204
217,0553062042,205
218,0553062042,206
219,0316769487,207
220,8445071408,9
221,8445071408,208
222,8445071769,209
223,8445071769,210
224,8445071769,211
225,8445071777,212
226,8445071777,213
227,0679429220,214
228,0679429220,215
229,0671867156,216
230,0671867156,217
231,0312252617,218
232,0312252617,219
233,0312261594,220
234,0312261594,221
235,0316748641,222
236,0316748641,223
237,0316973742,224
238,0316973742,225
239,0385235941,226
240,0385235941,227
241,0446677450,228
242,0446677450,229
243,0451166892,105
244,0451166892,230
245,0553347594,231
246,0553347594,232
247,0671621009,233
248,0671621009,234
249,067976397X,235
250,067976397X,236
251,067976397X,237
252,0684822733,238
253,0684822733,239
254,0786868716,240
255,0786868716,241
256,8472238822,242
257,8472238822,87
258,0671864769,243
259,0671864769,244
260,0671521519,245
261,0671521519,112
262,0440222303,246
263,0440222303,102
264,0312953453,247
265,0312953453,248
266,0446608653,249
267,0446608653,250
268,0446612545,251
269,0446612545,252
270,0446612545,253
271,0446612618,254
272,0446612618,63
273,0451208080,255
274,0451208080,230
275,0553584383,256
276,0553584383,257
277,0671027360,258
278,0671027360,259
279,0812575954,260
280,0812575954,261
281,0316735736,262
282,0316735736,263
283,0743439740,264
284,0743439740,189
285,0743439740,265
286,0743439740,266
287,0743439740,267
288,0743439740,268
289,0345372700,269
290,0345372700,270
291,0345372700,154
292,0380619458,271
293,0380619458,272
294,0446325805,273
295,0446325805,274
296,0451406923,275
297,0451406923,276
298,0671042858,277
299,0671042858,278
300,0671042858,266
301,0743249992,279
302,0743249992,280
303,0840734530,281
304,0840734530,282
305,0425184226,283
306,0425184226,284
307,0425184226,197
308,0375500766,285
309,0375500766,286
310,9724119378,287
311,9724119378,288
312,0451205197,289
313,0451205197,290
314,0060929790,291
315,0060929790,292
316,0060976845,293
317,0060976845,294
318,0060976845,295
319,0061099325,296
320,0061099325,297
321,0671004573,298
322,0671004573,299
323,0671004573,300
324,0446601640,301
325,0446601640,302
326,0330484516,303
327,0330484516,304
328,0330484516,305
329,038572179X,306
330,038572179X,307
331,0393020371,308
332,0393020371,227
333,1900850303,309
334,1900850303,310
335,1903019699,311
336,1903019699,312
337,0345425294,313
338,0345425294,314
339,0451410319,315
340,0451410319,316
341,0553583468,317
342,0553583468,318
343,0553583468,319
344,0553583468,320
345,0553583468,321
346,0553583468,322
347,8420639133,323
348,8420639133,324
349,8476409419,325
350,8476409419,326
351,0380778556,327
352,0380778556,328
353,0451525221,329
354,0451525221,330
355,0002740230,331
356,0002740230,332
357,0385336772,333
358,0385336772,334
359,0440949424,335
360,0440949424,26
361,0505524996,336
362,0505524996,337
363,0505524996,338
364,0140252800,339
365,0140252800,340
366,0451452755,341
367,0451452755,342
368,0812575482,343
369,0812575482,344
370,0812575482,345
371,044651747X,346
372,044651747X,347
373,044651747X,348
374,044651747X,114
375,044651747X,349
376,044651747X,161
377,0060801263,350
378,0060801263,351
379,0060801263,352
380,0061030147,353
381,0061030147,354
382,0140250964,355
383,0140250964,239
384,0446527165,356
385,0446527165,63
386,0671461494,357
387,0671461494,358
388,0385337639,359
389,0385337639,360
390,039575514X,361
391,039575514X,362
392,0451206673,363
393,0451206673,364
394,0330332775,365
395,0330332775,366
396,0330332775,367
397,0330332775,368
398,0486284735,369
399,0486284735,370
400,0486284735,371
401,0486284735,26
402,0486284735,372
403,0486284735,154
404,0671021745,373
405,0671021745,374
406,0671021745,375
407,0671047612,376
408,0671047612,377
409,0671504282,378
410,0671504282,379
411,0399138684,380
412,0399138684,381
413,0399138684,20
414,0785263292,382
415,0785263292,383
416,0830714014,384
417,0830714014,385
418,0830714014,386
419,0345354931,387
420,0345354931,388
421,0345354931,389
422,0553278223,390
423,0553278223,391
424,0553278223,392
425,3150000335,393
426,3150000335,394
427,3257203659,395
428,3257203659,396
429,3257207522,397
430,3257207522,398
431,3257207522,328
432,3257208626,399
433,3257208626,400
434,3257208634,401
435,3257208634,402
436,3257208634,403
437,3257208669,404
438,3257208669,405
439,3257210450,406
440,3257210450,407
441,3257212054,384
442,3257212054,408
443,3257212054,409
444,3257212429,11
445,3257212429,63
446,3257214154,410
447,3257214154,411
448,3257214154,412
449,3257216416,413
450,3257216416,114
451,3257233051,414
452,3257233051,415
453,342311360X,416
454,342311360X,102
455,3423116714,417
456,3423116714,418
457,3423241489,419
458,3423241489,420
459,3426605686,421
460,3426605686,422
461,3426605686,423
462,3453212150,424
463,3453212150,425
464,3462021095,426
465,3462021095,211
466,3492045642,427
467,3492045642,154
468,3498020862,428
469,3498020862,429
470,3498020862,430
471,3499110695,431
472,3499110695,161
473,3499151502,432
474,3499151502,433
475,3499151502,434
476,3518111000,435
477,3518111000,436
478,3548254268,105
479,3548254268,94
480,3570300099,437
481,3570300099,438
482,3596292646,439
483,3596292646,440
484,0060977493,441
485,0060977493,442
486,0312872682,443
487,0312872682,444
488,0312872682,445
489,0316602906,446
490,0316602906,447
491,0316693006,448
492,0316693006,449
493,0316693006,450
494,0345311396,451
495,0345311396,452
496,0345378490,453
497,0345378490,454
